,algorithm,mse train,mse val,init zero,iterations,time,lr method,lr,b,model
15,gradient,1.1223596642457963,1.0646694116278437,1.0,1000.0,3.5774049758911133,Momentum,0.001,0.7,default_top160
16,gradient,1.1223601163690837,1.0646706183508785,1.0,1000.0,3.517180919647217,Momentum,0.001,0.8,default_top160
17,gradient,1.1223605687837457,1.0646718251237444,1.0,1000.0,3.5741348266601562,Momentum,0.001,0.9,default_top160
18,gradient,1.1223610169611338,1.0646730198773897,1.0,1000.0,3.6832940578460693,Momentum,0.001,0.999,default_top160
106,gradient,1.122529400575907,1.06469986127981,0.0,1.0,0.000308990478515625,Momentum,1e-07,0.8,only_children
10,gradient,1.1227654995402747,1.0650076490841547,1.0,1000.0,3.9137320518493652,LearningRate,0.001,,default_noroot
15,gradient,1.122768281804059,1.065015754770204,1.0,1000.0,3.829571008682251,Momentum,0.001,0.7,default_noroot
16,gradient,1.122768680436481,1.0650169129346536,1.0,1000.0,3.7325761318206787,Momentum,0.001,0.8,default_noroot
17,gradient,1.1227690793600094,1.065018071149677,1.0,1000.0,3.7161788940429688,Momentum,0.001,0.9,default_noroot
18,gradient,1.122769474580911,1.0650192178317912,1.0,1000.0,3.8262059688568115,Momentum,0.001,0.999,default_noroot
12,gradient,1.125161973858332,1.0674603761345671,True,1000,3.6319351196289062,Decay,0.001,0.0001,default_tfidf
13,gradient,1.1248988960114152,1.0676154390445163,1.0,1000.0,3.5775301456451416,Decay,0.001,0.0001,default_top160
10,gradient,1.1250024262934304,1.0677764729808064,1.0,1000.0,0.8682248592376709,LearningRate,0.001,,default_top60
15,gradient,1.1250049186102096,1.0677842135549012,1.0,1000.0,0.8178818225860596,Momentum,0.001,0.7,default_top60
16,gradient,1.1250052758489797,1.0677853195435696,1.0,1000.0,0.8531482219696045,Momentum,0.001,0.8,default_top60
17,gradient,1.1250056333857108,1.0677864255786116,1.0,1000.0,0.832963228225708,Momentum,0.001,0.9,default_top60
18,gradient,1.125005987640442,1.0677875205984184,1.0,1000.0,0.7629690170288086,Momentum,0.001,0.999,default_top60
14,gradient,1.1264196622982876,1.0679000785719899,1.0,1000.0,0.1828150749206543,Decay,0.001,0.0005,only_children
13,gradient,1.125283737070935,1.0679408487157782,1.0,1000.0,3.6850571632385254,Decay,0.001,0.0001,default_noroot
86,gradient,1.129543086074976,1.0679765713183258,0.0,1000.0,0.1752910614013672,Decay,0.0001,0.0005,only_children
94,gradient,1.1340005314098658,1.0705217452924516,0.0,1.0,0.0003590583801269531,Decay,1e-06,0.0001,only_children
9,gradient,1.1262064396491727,1.0705810496065213,True,1000,0.9222269058227539,LearningRate,0.001,,default_feeling
14,gradient,1.12620631680853,1.070582515922896,True,1000,0.967764139175415,Momentum,0.001,0.7,default_feeling
15,gradient,1.1262063020720026,1.0705827273533945,True,1000,0.9387269020080566,Momentum,0.001,0.8,default_feeling
16,gradient,1.1262062880378718,1.0705829392714952,True,1000,0.9793980121612549,Momentum,0.001,0.9,default_feeling
17,gradient,1.1262062748357669,1.0705831495502076,True,1000,0.9165050983428955,Momentum,0.001,0.999,default_feeling
13,gradient,1.1274842784761636,1.0706648631729536,1.0,1000.0,0.7884988784790039,Decay,0.001,0.0001,default_top60
